year,ccode,OG,PO,DEFLATE,nomPO,PDEBT,SOCIAL,SICK,OLD,SURV,FAMI,UNEM,HOUS,EXCL,RDSO,OTHS,ELEC,COVID,FINCRI,EURCRI,USGAP,Continental,Nordic,Southern,Eastern
1995,AUT,-0.5321166,243.3617,72.9587014,177553.536,68.3205,21.74808842,2.265795483,11.96754538,1.904890252,3.195317946,1.361335884,0.07034498,0.742142359,0.013291766,0.227424364,1,0,0,0,-0.45,1,0,0,0
1996,AUT,-0.4951733,248.9871,73.6782241,183449.2735,68.2596,21.72535177,2.158471344,12.10301877,1.899871247,3.035498529,1.403494247,0.078550325,0.80174752,0.013627745,0.231072052,0,0,0,0,-0.23,1,0,0,0
1997,AUT,-0.8283914,255.054,74.6117239,190300.1863,63.4934,21.05131938,2.008248166,12.00524311,1.855647159,2.802782333,1.246189006,0.089858031,0.744507942,0.013977916,0.284970819,0,0,0,0,0.42,1,0,0,0
1998,AUT,0.1335495,261.6506,74.941437,196084.7196,63.859,20.96848755,2.061812878,12.1391917,1.836043119,2.626925755,1.305507133,0.108065534,0.604279621,0.015860491,0.270801315,0,0,0,0,0.93,1,0,0,0
1999,AUT,1.0735211,268.4359,75.1335492,201685.419,66.6905,21.30168865,2.027315619,12.32885358,1.820409238,2.846363425,1.262213209,0.115823941,0.612736412,0.016213368,0.271759854,1,0,0,0,1.67,1,0,0,0
2000,AUT,1.8189299,275.466,76.1584015,209790.5023,66.1242,21.15772617,1.888932033,12.37029309,1.777821188,2.941887232,1.147668733,0.121406831,0.620142469,0.01668331,0.272938953,0,0,0,0,1.8,1,0,0,0
2001,AUT,0.6390151,282.2272,77.6412859,219124.8272,66.729,20.74894962,1.672425734,12.28797318,1.735996805,2.828114038,1.109732763,0.122213445,0.724837993,0.016885353,0.250770306,0,0,0,0,-0.78,1,0,0,0
2002,AUT,0.0081909,288.698,78.5307411,226716.6789,66.728,20.87402666,1.712666231,12.13329347,1.707726144,2.825861789,1.267926124,0.1370874,0.735190727,0.014555612,0.339807377,1,0,0,0,-2.05,1,0,0,0
2003,AUT,-1.2818471,295.2242,79.5575718,234873.2049,65.8529,20.70334078,1.736809442,12.09231169,1.67379672,2.833954603,1.331569517,0.132497021,0.622718969,0.015625452,0.264057367,0,0,0,0,-1.87,1,0,0,0
2004,AUT,-0.8932138,302.1096,80.9416499,244532.4947,65.1894,20.37770074,1.814564565,11.89829598,1.628045387,2.785560261,1.270301521,0.125831947,0.620408344,0.008301555,0.226432074,0,0,0,0,-0.49,1,0,0,0
2005,AUT,-0.9489291,309.0628,82.9957823,256509.0887,68.6425,20.04018659,1.821806792,11.61888655,1.569379089,2.719591745,1.23905941,0.124751915,0.706641628,0.008537709,0.231570742,0,0,0,0,0.67,1,0,0,0
2006,AUT,0.3647569,315.5529,84.5661962,266851.0845,67.309,19.93040429,1.817717926,11.61640398,1.553000996,2.625396862,1.233422006,0.147760314,0.678280923,0.011017381,0.247403904,1,0,0,0,1.23,1,0,0,0
2007,AUT,2.1829512,321.4908,86.4445602,277911.3081,65.0313,19.82909597,1.850230577,11.63583455,1.534950135,2.536420719,1.22121695,0.12154957,0.703030047,0.010291053,0.215608355,0,0,0,0,1.1,1,0,0,0
2008,AUT,2.0915133,326.4781,88.1356944,287743.7405,68.6985,19.99171204,1.871873908,11.79872756,1.529485921,2.610656269,1.078494356,0.1441908,0.747088363,0.010321684,0.200942686,1,0,1,0,-0.79,1,0,0,0
2009,AUT,-2.6853388,329.61,89.8008105,295992.4515,79.854,20.66539187,1.927751864,12.1191942,1.519667133,2.638310525,1.319121478,0.155781,0.769614221,0.0081421,0.207809354,0,0,1,0,-4.97,1,0,0,0
2010,AUT,-1.6660339,332.1858,90.5848209,300909.912,82.6967,21.04390632,1.960221237,12.40939514,1.51723151,2.626832711,1.375162411,0.166096224,0.771127805,0.008407832,0.209464685,0,0,0,0,-3.84,1,0,0,0
2011,AUT,0.2879629,335.2335,92.2456123,309238.1947,82.4444,20.75390463,1.982226033,12.4140228,1.494737739,2.428289949,1.283670668,0.137175811,0.789456167,0.01244995,0.211843172,0,0,0,1,-3.82,1,0,0,0
2012,AUT,0.0326508,338.376,94.1405546,318549.043,81.9201,20.91784655,1.971658725,12.60816847,1.491355916,2.371534357,1.305576046,0.122963797,0.833968916,0.012556936,0.200031993,0,0,0,1,-3.19,1,0,0,0
2013,AUT,-0.9088578,341.6782,95.6692918,326881.1142,81.2662,21.10908126,1.967657268,12.76152038,1.484270516,2.308056254,1.380654863,0.115363043,0.870714115,0.008412845,0.212431973,1,0,0,0,-3,1,0,0,0
2014,AUT,-1.1794795,344.8795,97.7507755,337122.3858,84.0475,21.19734643,1.946118169,12.87467158,1.468250169,2.23980973,1.420671009,0.110849951,0.92111949,0.008157275,0.207669389,0,0,0,0,-2.46,1,0,0,0
2015,AUT,-1.2895473,348.7667,100,348766.7,84.8942,20.91283371,1.899894686,12.63913671,1.43680575,2.276679511,1.379948258,0.109758185,0.953531401,0.010121379,0.206929159,0,0,0,0,-1.6,1,0,0,0
2016,AUT,-0.5531154,353.0711,101.8482947,359596.8944,82.8406,20.87670977,1.863670155,12.59346249,1.411135657,2.25519189,1.374149798,0.11062387,1.071199462,0.010178063,0.18709839,0,0,0,0,-1.77,1,0,0,0
2017,AUT,0.5132412,357.2151,102.8724141,367475.7969,78.5006,20.70237024,1.827412868,12.64937729,1.389315988,2.175354151,1.309528421,0.106455991,1.044857929,0.014041741,0.18605307,1,0,0,0,-1.42,1,0,0,0
2018,AUT,1.7748968,361.3433,104.7632754,378555.0765,74.0828,20.52892824,1.805259109,12.62421322,1.374885802,2.149515488,1.239819591,0.103789389,1.029493525,0.013762859,0.188189261,0,0,0,0,-0.46,1,0,0,0
2019,AUT,2.1774026,365.3813,106.3836192,388705.8508,70.6329,20.61108672,1.809465946,12.8397347,1.367846661,2.070846112,1.217115716,0.095779366,1.00518168,0.014278149,0.19086412,1,0,0,0,-0.1,1,0,0,0
2020,AUT,-5.3160657,368.8504,109.1055528,402436.2679,82.9252,21.55546279,1.754041711,13.08090354,1.362700243,2.25307725,1.800260209,0.093654581,1.011787536,0.014163733,0.184898842,0,1,0,0,-5.17,1,0,0,0
2021,AUT,-2.3015849,373.7589,111.2259182,415716.7684,82.2758,21.40149418,1.72971132,13.26068713,1.344882003,2.041053103,1.710347174,0.084480595,1.037292774,0.014360739,0.1787034,0,1,0,0,-1.53,1,0,0,0
1995,BEL,-0.660503,288.1416,73.53629,211888.6426,131.2865,17.62043475,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,-0.45,1,0,0,0
1996,BEL,-1.3099579,293.8705,73.8867785,217131.4454,129.0046,17.66077683,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,-0.23,1,0,0,0
1997,BEL,0.1525268,300.5649,74.4465628,223760.237,124.2707,17.71047462,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42,1,0,0,0
1998,BEL,-0.1692667,307.4492,75.7908023,233018.2153,119.1859,17.30371162,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.93,1,0,0,0
1999,BEL,0.9361633,314.8549,76.2447117,240060.2108,115.3621,17.08525535,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1.67,1,0,0,0
2000,BEL,2.0939947,322.8537,77.780751,251118.0325,109.5887,16.77155542,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1.8,1,0,0,0
2001,BEL,0.7107792,330.8868,79.3229898,262469.3026,108.2171,16.7973548,2.357151842,6.878404377,2.032466253,2.119714551,2.363819288,0.03608041,0.814495249,0.012725298,0.182459432,0,0,0,0,-0.78,1,0,0,0
2002,BEL,0.1304662,338.4851,80.623893,272899.8648,105.4363,17.1245596,2.384867432,7.004327397,2.02191379,2.129279178,2.544413133,0.039318451,0.810993439,0.008354713,0.181092065,0,0,0,0,-2.05,1,0,0,0
2003,BEL,-0.9433378,345.7059,82.1155065,283878.1508,101.6595,17.25539633,2.458977551,7.030093702,1.992615488,2.109179584,2.607668107,0.051148706,0.819894026,0.004614656,0.181239732,1,0,0,0,-1.87,1,0,0,0
2004,BEL,0.3998601,353.2615,83.6880111,295637.5233,97.1697,17.33812387,2.464267701,7.139046411,1.959595634,2.071049686,2.643372165,0.069240196,0.796482115,0.008219525,0.186884261,0,0,0,0,-0.49,1,0,0,0
2005,BEL,0.5938926,360.7661,85.4312944,308207.149,95.1418,17.19314434,2.494036892,7.134033092,1.935451536,2.049855112,2.555975754,0.067162621,0.775192921,0.008176319,0.17322765,0,0,0,0,0.67,1,0,0,0
2006,BEL,1.1527567,367.9301,87.3660631,321446.0433,91.4942,17.25826189,2.426783643,7.21747879,1.922219958,2.021738993,2.478176405,0.094199324,0.884938564,0.007404042,0.205353282,0,0,0,0,1.23,1,0,0,0
